objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671768542544216,6122,301,4,130,344,3,257.980540966257,64.1417581247177,19.89911,18.37615,17.51081,17.08795,16.775,0.08734721,0.009626696,0.007317014,0.007454473,0.02208764
1237671768542545339,6122,301,4,130,1467,3,257.991851077078,64.1446358244357,25.90808,23.21839,22.51242,22.13581,20.89257,0.6209532,0.2245856,0.1664005,0.1805384,0.2927537
1237671768542545340,6122,301,4,130,1468,6,257.99450927593,64.1472151309966,23.68994,23.9193,22.24126,21.61444,21.03445,0.6936287,0.3294889,0.1069714,0.09187384,0.2689945
1237671768542545540,6122,301,4,130,1668,3,257.988688632994,64.1471793876438,23.27392,23.41759,23.06224,21.82922,21.41121,0.6630083,0.2732649,0.2789752,0.1459567,0.4643959
1237671768542544796,6122,301,4,130,924,6,257.969671005605,64.1380245699739,23.96524,22.24944,21.5296,21.05057,21.08319,0.8058433,0.08608918,0.05956583,0.05786954,0.2797271
1237671768542544237,6122,301,4,130,365,3,258.020011363757,64.1452257400517,19.57901,17.76373,16.88235,16.46446,16.16225,0.06203061,0.006529275,0.005018086,0.00495615,0.01245433
1237671768542544239,6122,301,4,130,367,3,258.028635387856,64.1421990123936,19.6608,17.98673,17.41494,16.97065,16.74574,0.0499794,0.006431109,0.0210136,0.005612716,0.01455422
1237671768542544875,6122,301,4,130,1003,3,258.016999890629,64.1419884970892,23.73154,22.80486,22.62306,22.77068,22.2283,0.7672001,0.1451139,0.1635213,0.2738869,0.6736422
1237671768542544838,6122,301,4,130,966,3,257.996315413593,64.1417022740797,24.22253,22.99233,22.09969,22.03224,21.86681,0.9832752,0.1753591,0.1057554,0.148394,0.5602759
1237671768542544837,6122,301,4,130,965,3,257.995003733463,64.1406122600315,22.28431,20.66748,19.8981,19.4552,19.58028,0.5865487,0.0506741,0.04117277,0.04194935,0.2138981
1237671768542544836,6122,301,4,130,964,3,257.99818339982,64.1397249013368,21.39875,19.88986,19.21819,18.91101,18.63614,0.2534078,0.02603316,0.02166034,0.02466956,0.084158
1237671768542545338,6122,301,4,130,1466,3,257.991302517223,64.1360406760899,24.96294,23.72408,22.38371,21.40108,21.23161,1.30077,0.3987973,0.1775186,0.1154133,0.4677
1237671768542544244,6122,301,4,130,372,6,258.03519421916,64.1280010930068,22.61671,20.23003,18.78575,17.87172,17.34592,0.3203932,0.01910116,0.009733605,0.007655831,0.01489246
1237671768542544865,6122,301,4,130,993,3,258.009899217065,64.139320031388,23.64752,23.74916,22.60265,21.88659,22.14841,0.7664092,0.3252145,0.1698624,0.1355525,0.6745275
1237671768542544864,6122,301,4,130,992,6,258.008416703289,64.140294686175,22.23746,22.15763,20.67093,19.15742,18.30972,0.2318998,0.07900564,0.03069893,0.01450696,0.02855899
1237671768542544799,6122,301,4,130,927,3,257.980944645433,64.1219434094964,21.23408,20.0831,19.68246,19.39082,18.96328,0.1877086,0.02543039,0.02753609,0.03348025,0.09512033
1237671768542544801,6122,301,4,130,929,6,257.977017904702,64.129615711726,22.14559,21.6356,21.21902,21.03541,21.08475,0.2125924,0.05249304,0.04682493,0.05764916,0.2834496
1237671768542544241,6122,301,4,130,369,6,258.041085182683,64.1079250877247,20.94275,19.34171,18.71191,18.46223,18.355,0.08443321,0.01105144,0.009387809,0.009902349,0.02995279
1237671768542545360,6122,301,4,130,1488,3,258.035410188729,64.1247568462875,24.80724,24.64867,22.30969,20.98234,20.07224,1.142219,0.5985982,0.1405333,0.06790841,0.147576
1237671768542543952,6122,301,4,130,80,3,258.018980544384,64.1215997134237,24.51094,24.99467,25.24941,22.79918,23.4447,1.190451,0.6736078,0.6369324,0.3283989,0.7926446
1237671768542545544,6122,301,4,130,1672,6,258.035714070706,64.118861181187,25.39671,23.97702,23.36824,21.82994,20.68014,0.7652439,0.3463191,0.2708527,0.1116644,0.2038074
1237671768542543954,6122,301,4,130,82,3,258.012293264945,64.1150227667591,24.90063,23.97421,23.7022,22.59568,22.7391,1.002064,0.3795013,0.4041961,0.2373087,0.785333
1237671768542543949,6122,301,4,130,77,6,257.999065752775,64.1190020986106,24.97324,22.73199,22.05323,21.56202,23.34066,1.185866,0.1648612,0.1311033,0.1261673,0.870654
1237671768542543946,6122,301,4,130,74,3,258.014826512442,64.1163237459566,24.49774,23.59731,22.4798,21.81443,23.19212,1.120703,0.3019255,0.1620387,0.1359892,0.81087
1237671768542544861,6122,301,4,130,989,6,258.019851415884,64.1116432089361,23.19583,21.20618,20.0915,19.63857,19.33933,0.5090201,0.03751971,0.02043296,0.01992851,0.06524611
1237671768542544862,6122,301,4,130,990,3,258.018457281141,64.112776054503,23.69974,24.62862,22.89774,21.29539,22.30359,0.8780231,0.6179253,0.2339251,0.08990529,0.8155696
1237671768542544800,6122,301,4,130,928,6,257.985149889385,64.1210664685095,23.2433,23.94241,22.87256,22.77117,22.37778,0.5228886,0.3399887,0.1813471,0.2448712,0.6616807
1237671768542543937,6122,301,4,130,65,6,258.004933921175,64.120670117319,24.63464,21.69689,21.08023,20.98269,22.82689,1.030512,0.06989585,0.04775642,0.06164933,0.7688815
1237671768542543956,6122,301,4,130,84,3,257.997383738594,64.1223647563804,23.86178,25.15644,24.42161,22.65536,22.46517,1.055681,0.7649018,0.8268647,0.3091326,0.9951879
1237671768542543939,6122,301,4,130,67,6,258.000845486683,64.1195553768307,24.63468,25.11433,21.76161,22.17844,22.82724,1.042259,0.6053132,0.07958487,0.1725945,0.7710244
1237671768542543936,6122,301,4,130,64,6,257.992396005097,64.1244415037869,23.90306,21.86323,20.51368,19.09051,18.53867,0.7946861,0.06346728,0.02752844,0.01390532,0.03404055
1237671768542543941,6122,301,4,130,69,3,257.993549710174,64.1204366800549,23.90319,22.55871,21.4731,21.18887,20.47331,0.9277815,0.1275492,0.06899451,0.08200644,0.2047902
1237671768542543935,6122,301,4,130,63,6,258.013958908925,64.1280581360921,23.92402,20.9764,19.2649,18.28868,17.79371,0.8052431,0.03212008,0.01248776,0.009140238,0.01999995
1237671768542543942,6122,301,4,130,70,3,258.008854252975,64.1293531193744,24.28682,21.92609,21.27806,20.93679,22.00731,1.191354,0.08018818,0.06510537,0.07210045,0.7437709
1237671768542543938,6122,301,4,130,66,3,258.013850782006,64.1232142024487,24.63465,23.64077,21.51935,20.73038,22.82689,1.045793,0.3321947,0.06819868,0.05023618,0.7755605
1237671768542543953,6122,301,4,130,81,3,258.010800380738,64.1264875719563,25.18119,24.72113,24.68165,22.58074,23.97017,1.003021,0.6096075,0.6564583,0.2676625,0.5480378
1237671768542543945,6122,301,4,130,73,6,258.014077303298,64.1271274954443,24.07105,24.55233,23.32435,21.92999,21.96643,0.9028164,0.5078608,0.2779527,0.1294971,0.5730453
