objid,type,ra,dec,u,g,r,i,z,redshift
1237648673997127724,GALAXY,248.064172006847,-0.0499321378702428,17.15324,15.80188,15.18173,14.80921,14.53041,0.04401696
1237648704068518498,GALAXY,248.050513854186,-0.304043584320971,18.56369,16.72327,15.79623,15.37091,15.00125,0.07008199
1237648704068649509,GALAXY,248.295368158063,-0.213269933689703,16.63296,15.32729,14.6805,14.33003,14.10882,0.02517235
1237655550207197707,GALAXY,248.275340697218,-0.189057878468548,17.5638,16.44441,15.96938,15.72209,15.55247,0.02555209
1237655560403878129,GALAXY,248.920080612254,0.331414933371607,16.33673,14.27109,13.33829,12.90328,12.54648,0.02469755
1237662225706123901,GALAXY,254.767803465922,16.7154906590886,17.96088,16.19392,15.26711,14.79795,14.47563,Null
1237662306744664864,GALAXY,256.022272786244,16.7636702625137,18.04585,16.05928,15.11235,14.63846,14.27008,Null
1237662341631247030,GALAXY,256.384202756524,17.3041545233211,18.9135,16.92161,15.91144,15.43684,15.05533,Null
1237668336864788995,GALAXY,249.859685815866,11.2105786836614,16.59498,15.23521,14.62179,14.26291,14.04665,0.02317611
