objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237663783126040788,4263,301,2,152,212,6,5.46042005409879,-0.815109010155818,21.45196,18.76448,17.41692,16.69071,16.28399,0.09422835,0.008467383,0.00616724,0.005930408,0.007572356
1237663783126040795,4263,301,2,152,219,6,5.46461031033339,-0.815584432281033,19.8672,18.02709,17.3313,17.08368,16.97154,0.03276257,0.006418374,0.006087607,0.006460534,0.01005768
1237663783126041394,4263,301,2,152,818,6,5.46891901358232,-0.813643609008991,22.70748,22.9761,23.42665,22.61532,21.55572,0.2648404,0.15422,0.3073253,0.2168001,0.2901256
1237663783126041341,4263,301,2,152,765,6,5.45713564406263,-0.83841305525969,25.28123,24.3205,23.38896,22.44315,21.81346,0.5491721,0.3917848,0.2800961,0.1757124,0.3323525
1237663783126041340,4263,301,2,152,764,6,5.45769197211623,-0.838406538209008,25.46955,23.28783,21.85321,20.31657,19.40666,0.5060041,0.1900886,0.07869276,0.0309045,0.04842875
1237663783126041375,4263,301,2,152,799,6,5.46486947150922,-0.834735273399486,22.69209,21.52372,20.9008,20.69032,20.43514,0.2475208,0.04624481,0.03760754,0.04229031,0.1156095
1237663783126041426,4263,301,2,152,850,6,5.47803777222136,-0.833661988292947,25.15004,24.05914,23.19907,23.47387,22.62955,0.6331931,0.3546027,0.2604759,0.4262813,0.4993163
1237663783126041425,4263,301,2,152,849,6,5.47792203961705,-0.830089026854198,24.19501,25.32027,24.75001,22.92805,22.01826,0.6684805,0.5165118,0.5872593,0.2784279,0.4030725
1237663783126041424,4263,301,2,152,848,3,5.47809349376955,-0.831640862364715,26.50755,21.39739,20.10539,19.41652,18.97955,0.6958783,0.114027,0.05630066,0.04317838,0.1106038
1237663783126040998,4263,301,2,152,422,3,5.47035935764077,-0.835506333057217,23.6858,24.28167,21.65593,25.2317,21.33811,1.47965,1.211349,0.2059321,1.338117,0.7597393
